Year,TOTAL,ENERGY,Stationary Combustion Sources,Public Electricity and Heat Production ,Petroleum Refining Industries,Oil and Gas Extraction,Mining,Manufacturing Industries,Construction,Commercial and Institutional,Residential,Agriculture and Forestry,Transport,Aviation,Road Transportation,Railways,Marine,Other Transportation,Fugitive Sources,Coal Mining ,Oil and Natural Gas,INDUSTRIAL PROCESSES AND PRODUCT USE,Mineral Products,Chemical Industry,Metal Production,"Production and Consumption of Halocarbons, SF6 and NF3c",Non-Energy Products from Fuels and Solvent Use,Other Product Manufacture and Use,AGRICULTURE,Enteric Fermentation,Manure Management,Agricultural Soils,Field Burning of Agricultural Residues,"Liming, Urea Application and Other Carbon-Containing Fertilizers ",WASTE,Solid Waste Disposal (Landfills),Biological Treatment of Solid Waste,Wastewater Treatment and Discharge  ,Incineration and Open Burning of Waste  ,Industrial Wood Waste Landfills,"LAND USE, LAND-USE CHANGE AND FORESTRY",Forest Land,Cropland,Grassland,Wetlands,Settlements,Harvested Wood Products
1990,594722,472162,277706,94519,17360,30758,4653,56164,1881,26199,43764,2408,144881,7514,83769,6918,3074,43606,49575,2824,46751,56961,8491,17545,23772,975,5804,374,41183,22347,6087,11335,223,1191,24417,19590,73,1611,273,2869,-63537,-201919,379,1,5402,1894,130706
1991,587906,463670,273292,95899,16318,29336,4318,53930,1633,26842,42278,2739,139504,6497,79934,6408,3126,43540,50874,2878,47996,58381,7590,16925,26799,1061,5636,370,41347,22853,6178,11005,180,1131,24508,19522,99,1629,286,2973,-73607,-207052,-5975,1,5288,1853,132279
1992,605290,480873,282924,102404,16553,31209,3727,52964,1757,27499,43561,3250,143324,6387,80437,6701,3177,46622,54625,2306,52319,56143,7319,16704,25633,835,5300,352,43251,23969,6476,11447,156,1203,25023,19868,127,1663,302,3063,-58916,-205117,-2861,1,5148,1662,142251
1993,607681,481966,277964,93163,17156,34399,4024,50778,1386,28498,45514,3046,147032,6016,81859,6677,3229,49251,56970,2541,54429,55874,7397,16834,25399,5,5893,347,44345,24396,6563,12018,176,1193,25495,20241,146,1664,303,3142,-46630,-200787,1665,0,5487,1512,145492
1994,628146,498097,283371,95397,16146,35071,4580,54206,1396,27816,46214,2545,154261,6377,85627,6908,3281,52069,60465,2506,57959,57789,8487,19035,23879,5,6021,363,46168,25473,6811,12323,184,1377,26093,20655,166,1727,337,3208,-55688,-201054,-8386,1,3297,1310,149144
1995,645454,512475,290570,98786,16257,36352,4975,55984,1180,29358,44912,2765,158518,6698,86644,6256,3332,55587,63387,2295,61092,58401,9188,18513,23494,497,6321,389,48159,26807,7171,12490,189,1501,26419,20868,189,1728,370,3264,-39574,-189501,-8416,0,3190,1238,153914
1996,666698,530806,300377,98384,18741,36740,5072,57587,1267,29989,49671,2927,162587,7082,90401,6120,3385,55599,67842,2187,65655,60676,8917,19454,23248,835,7870,352,49191,27173,7283,13073,178,1485,26024,20412,203,1755,347,3308,-45403,-190794,-8528,1,3090,1239,149590
1997,682298,546884,307785,110202,18606,35110,5231,57729,1255,30403,46331,2917,168639,7242,96368,6206,3438,55386,70460,2257,68203,60197,9554,17550,23048,1146,8509,388,49434,27101,7360,13187,188,1599,25783,20136,203,1782,320,3341,-49344,-191915,-12297,1,3182,1145,150540
1998,688614,554820,310428,122913,18243,37653,4671,54733,1121,27833,40662,2599,171806,7497,102705,5980,3490,52134,72586,1973,70613,57026,9661,13437,23965,1645,7820,498,50099,27164,7538,13536,199,1662,26668,20904,231,1820,348,3364,-55053,-189281,-7717,1,3462,1292,137190
1999,701759,569464,322173,120430,17276,48671,4468,55736,1171,29368,42375,2678,176478,7886,107780,6330,3543,50939,70814,1666,69148,54545,9887,9979,23156,2189,8751,583,50168,27357,7689,13429,148,1545,27582,21794,192,1872,348,3377,-47726,-182384,-15826,1,3670,1344,145469
